file,status,job_id,destination,elapsed_s
"/Volumes/MAC_HDD/PDF test/2.1 (2014-01-27) Offre d'achat (Pajula).pdf",ok,"70F809A8-45BF-49F4-B10B-AFA80DA0D9CA","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163244.pdf",1
"/Volumes/MAC_HDD/PDF test/2.10 (2014-01-27) Protocole d'entente Ville Amos - SQI.pdf",ok,"991640F3-A64E-4A0F-B131-EAAAA1D9A964","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163244-1.pdf",1
"/Volumes/MAC_HDD/PDF test/2.2 (2014-01-27) Projet de serres - Denis Pearson.pdf",ok,"791E7994-DFA5-4955-B0FF-E90FF3151E46","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163245.pdf",0
"/Volumes/MAC_HDD/PDF test/2.3 (2014-01-27) Dénonciation - entente développement durable.pdf",ok,"DFC28A73-6A41-4AEE-B01E-73023E2ECB19","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163246.pdf",1
"/Volumes/MAC_HDD/PDF test/2.4 (2014-01-27) Consultation - priorités territoriales.pdf",ok,"9D2484F4-2D69-49E3-83BB-4970EF8ACE4E","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163246-1.pdf",0
"/Volumes/MAC_HDD/PDF test/2.5 (2014-01-27) traitement des élus.pdf",ok,"67E9E472-5E4E-43E1-9B7D-7642688D006A","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163247.pdf",1
"/Volumes/MAC_HDD/PDF test/2.6 (2014-01-27) Nomination au CA du SESAT.pdf",ok,"CE1B9154-1437-488B-9429-29A223D58AC5","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163247-1.pdf",1
"/Volumes/MAC_HDD/PDF test/2.7 (2014-01-27) Projet Culturat.pdf",ok,"D4B4E0B8-3DB4-46F9-9059-8A390289BDD7","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163248.pdf",0
"/Volumes/MAC_HDD/PDF test/2.8 (2014-01-27) Remise d'une fresque à la Ville - SAH.pdf",ok,"A73001AB-8F1B-4F82-8315-7563DAA78141","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163249.pdf",1
"/Volumes/MAC_HDD/PDF test/2.9 (2014-01-27) Demande de Clément Houle - domaine Belle-Vie.pdf",ok,"60BF03F1-03DD-4A1A-A1B5-54933AB574BD","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163249-1.pdf",1
"/Volumes/MAC_HDD/PDF test/4.1.1 (2014-02-03) Adjudication contrat services professionnels refonte urbanisme.pdf",ok,"2A2A889D-DAAC-42A2-B9EA-F3BB70334A3F","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163250.pdf",0
"/Volumes/MAC_HDD/PDF test/4.2.2 (2014-02-03) Vente terrain 351 avenue corbière.pdf",ok,"09E6E704-51BC-4DFA-BE45-A3799C949DDC","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163251.pdf",1
"/Volumes/MAC_HDD/PDF test/4.4.1 (2014-02-03) Adjudication contrat - mécanique de pompage du puits.pdf",ok,"ECC954A6-9E19-4048-AB26-F07F805F0BEB","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163251-1.pdf",1
"/Volumes/MAC_HDD/PDF test/4.9.1 (2014-01-27) Modification règlements emprunts.pdf",ok,"F9CD07E3-FAFE-49CC-8A0D-9763D90380C8","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163252.pdf",0
"/Volumes/MAC_HDD/PDF test/4.9.2 (2014-01-27) Emission obligations terme plus court.pdf",ok,"79DDE8FA-7633-4EDF-A00B-8FD9A989C5E4","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163253.pdf",1
"/Volumes/MAC_HDD/PDF test/5.1 (2013-02-03) Adoption VA-820 - Revitalisation bâtiments.pdf",ok,"F9517D52-5FA9-47A5-8652-D173E6A4FAFE","/data/routed/Archives/2026/ADM-PV/ADM-PV-20260218-163253-1.pdf",1
