file,status,job_id,destination,elapsed_s
"/Volumes/MAC_HDD/PDF test/2.1 (2014-01-27) Offre d'achat (Pajula).pdf",ok,"859D34B7-8E89-4A7B-81DE-35D2C8F4310F","/data/routed/Archives/2026/FIN-001/Factures/Finance/FIN-001-FACT-FINANCE-20260218-79AD7A75.pdf",123
"/Volumes/MAC_HDD/PDF test/2.10 (2014-01-27) Protocole d'entente Ville Amos - SQI.pdf",ok,"C8DC08D2-EE4B-47CE-A855-C22CBD7608FB","/data/routed/Archives/2026/ADM-PV/Proces-Verbaux/Comite/ADM-PV-PV-COMITE-20260218-PV-2024-001-7.pdf",3
"/Volumes/MAC_HDD/PDF test/2.2 (2014-01-27) Projet de serres - Denis Pearson.pdf",ok,"4B6823E2-0FBE-4BE8-A7B5-0A592A44BDB9","/data/routed/Archives/2026/GEN-000/Autres/Serres/GEN-000-AUTRE-SERRES-20260218-R 12-1.pdf",75
"/Volumes/MAC_HDD/PDF test/2.3 (2014-01-27) Dénonciation - entente développement durable.pdf",ok,"B2A3F27A-170F-493A-AC50-D03138315B4A","/data/routed/Archives/2026/ADM-PV/Proces-Verbaux/Comite/ADM-PV-PV-COMITE-20260218-PV-2024-001-8.pdf",60
"/Volumes/MAC_HDD/PDF test/2.4 (2014-01-27) Consultation - priorités territoriales.pdf",ok,"F81AB3D4-FC91-4028-92B1-BFB6F3AF320E","/data/routed/Archives/2026/GEN-000/Autres/Consultation/GEN-000-AUTRE-CONSULTATION-20260218-5FE05BA0.pdf",9
"/Volumes/MAC_HDD/PDF test/2.5 (2014-01-27) traitement des élus.pdf",ok,"0B34AF85-3E65-4DC0-956B-D65A802163E8","/data/routed/Archives/2026/ADM-PV/Proces-Verbaux/Comite/ADM-PV-PV-COMITE-20260218-PV-2024-001-9.pdf",64
"/Volumes/MAC_HDD/PDF test/2.6 (2014-01-27) Nomination au CA du SESAT.pdf",ok,"4EC10FE5-538C-4463-BE00-E86A1974BF22","/data/routed/Archives/2026/ADM-RES/Resolutions/Decision/ADM-RES-RES-DECISION-20260218-7309BB64.pdf",3
"/Volumes/MAC_HDD/PDF test/2.7 (2014-01-27) Projet Culturat.pdf",ok,"3A8E12EF-86EA-4181-B2C2-6C5BEF5E45BA","/data/routed/Archives/2026/FIN-001/Factures/Finance/FIN-001-FACT-FINANCE-20260218-249F7487.pdf",35
"/Volumes/MAC_HDD/PDF test/2.8 (2014-01-27) Remise d'une fresque à la Ville - SAH.pdf",ok,"08464F18-053A-48CE-AAC5-4EA9F0AF8A7B","/data/routed/Archives/2026/GEN-000/Autres/Remise/GEN-000-AUTRE-REMISE-20260218-8AE68418.pdf",18
"/Volumes/MAC_HDD/PDF test/2.9 (2014-01-27) Demande de Clément Houle - domaine Belle-Vie.pdf",ok,"8979064A-9A78-4D8A-A669-B5ACD3D23F43","/data/routed/Archives/2026/FIN-001/Factures/Finance/FIN-001-FACT-FINANCE-20260218-868F3730.pdf",19
"/Volumes/MAC_HDD/PDF test/4.1.1 (2014-02-03) Adjudication contrat services professionnels refonte urbanisme.pdf",ok,"CE043839-2EB7-4567-B74A-635FB249F59B","/data/routed/Archives/2026/ADM-RES/Resolutions/Decision/ADM-RES-RES-DECISION-20260218-51F747B5.pdf",2
"/Volumes/MAC_HDD/PDF test/4.2.2 (2014-02-03) Vente terrain 351 avenue corbière.pdf",ok,"CD98A068-B86A-4437-A4D3-019719E0E2B4","/data/routed/Archives/2026/FIN-001/Factures/Finance/FIN-001-FACT-FINANCE-20260218-4723EBB1.pdf",2
"/Volumes/MAC_HDD/PDF test/4.4.1 (2014-02-03) Adjudication contrat - mécanique de pompage du puits.pdf",ok,"FF9502BE-07EF-42E9-BDB6-6C434F9F834E","/data/routed/Archives/2026/ADM-RES/Resolutions/Decision/ADM-RES-RES-DECISION-20260218-A0D12CEF.pdf",3
"/Volumes/MAC_HDD/PDF test/4.9.1 (2014-01-27) Modification règlements emprunts.pdf",ok,"DCECB540-7244-4A4D-980D-6BDE6D65BFF2","/data/routed/Archives/2026/FIN-001/Factures/Finance/FIN-001-FACT-FINANCE-20260218-3EA7A78A.pdf",3
"/Volumes/MAC_HDD/PDF test/4.9.2 (2014-01-27) Emission obligations terme plus court.pdf",ok,"CF84E0AB-7CA5-4320-A1FC-874844520CCF","/data/routed/Archives/2026/FIN-001/Factures/Finance/FIN-001-FACT-FINANCE-20260218-0A836D7B.pdf",3
"/Volumes/MAC_HDD/PDF test/5.1 (2013-02-03) Adoption VA-820 - Revitalisation bâtiments.pdf",ok,"6EB68141-D215-4BEF-A973-2A2CC559054C","/data/routed/Archives/2026/ADM-PV/Proces-Verbaux/Comite/ADM-PV-PV-COMITE-20260218-PV-2024-001-10.pdf",96
